gene_name	gene_claim_name	entrez_id	interaction_claim_source	interaction_types	drug_claim_name	drug_claim_primary_name	drug_name	drug_concept_id	interaction_group_score	PMIDs
ALDH1A1	ALDH1A1	216	DTC		Z-PRO-PROLINAL	Z-PRO-PROLINAL	Z-PRO-PROLINAL	chembl:CHEMBL79993	0.04	
GRPR	2925	2925	GuideToPharmacology	agonist	135651760	GASTRIN-RELEASING PEPTIDE				
LEP	LEP	3952	NCI		MIRTAZAPINE	MIRTAZAPINE	MIRTAZAPINE	chembl:CHEMBL654	0.45	12518269
MAP2K1	MAP2K1	5604	DoCM		VEMURAFENIB	VEMURAFENIB	VEMURAFENIB	chembl:CHEMBL1229517	0.59	22197931,7651428,18632602,19915144,23569304,25157968
MGAM	Intestinal maltase-glucoamylase	8972	TTD		Alpha-glucosidase	Alpha-glucosidase	ALGLUCOSIDASE ALFA	chembl:CHEMBL1201824	6.37	
MIF	P14174	4282	TdgClinicalTrial		ANTI-MIF MONOCLONAL ANTIBODY	ANTI-MIF MONOCLONAL ANTIBODY				
PPARG	P37231	5468	TdgClinicalTrial		ETHYL EICOSAPENTAENOIC ACID	ETHYL EICOSAPENTAENOIC ACID				
ERBB2	HER2	2064	ChemblInteractions	inhibitor	CHEMBL3545396	BMS-690514	BMS-690514	chembl:CHEMBL3545396	0.37	
PIK3R1	GRB1	5295	ChemblInteractions	inhibitor	CHEMBL592445	GEDATOLISIB	GEDATOLISIB	chembl:CHEMBL592445	0.27	
ALOX15B	ALOX15B	247	DTC		DIENESTROL	DIENESTROL	DIENESTROL	chembl:CHEMBL1018	0.14	
FPR1	2357	2357	GuideToPharmacology	antagonist	135652599	T-BOC-FLFLF				
PRMT3	10196	10196	GuideToPharmacology	inhibitor	178103611	COMPOUND 1 [PMID: 22795084]				
CACNA1S	779	779	GuideToPharmacology	activator	178100888	(-)-(S)-BAYK8644				
DRD2	Dopamine D2 receptor	1813	TTD		Lu AF35700	Lu AF35700				
NOX4	50507	50507	GuideToPharmacology	inhibitor	363894228	COMPOUND 87 [PMID: 20942471]				
SLC28A2	SLC28A2	9153	DTC		ADENOSINE	ADENOSINE	ADENOSINE	chembl:CHEMBL477	1.93	23388705
KCNH2	KCNH2	3757	DTC		SJ000093125	SJ000093125	CHEMBL591641	chembl:CHEMBL591641	0.19	
RAD52	RAD52	5893	DTC		JNJ-5207852	JNJ-5207852	JNJ-5207852	chembl:CHEMBL129542	0.36	
PTH	PTH	5741	NCI		ATENOLOL	ATENOLOL	ATENOLOL	chembl:CHEMBL24	0.22	2649632
GMNN	GMNN	51053	DTC		NIFURALDEZONE	NIFURALDEZONE	NIFURALDEZONE	chembl:CHEMBL1358619	0.13	
GABRE	GABRE	2564	ChemblInteractions		CHEMBL591	ETHCHLORVYNOL	ETHCHLORVYNOL	chembl:CHEMBL591	0.07	
CACNG2	CACNG2	10369	ChemblInteractions	modulator	CHEMBL1059	PREGABALIN	PREGABALIN	chembl:CHEMBL1059	0.36	
MAPK8	MAPK8	5599	DTC		CENISERTIB	CENISERTIB	CENISERTIB	chembl:CHEMBL1967878	0.01	
HSD17B10	HSD17B10	3028	DTC		DIFLUNISAL	DIFLUNISAL	DIFLUNISAL	chembl:CHEMBL898	0.03	
ADRA1A	P35348	148	TdgClinicalTrial		TERAZOSIN	TERAZOSIN	TERAZOSIN	chembl:CHEMBL611	0.53	
CYP2C9	CYP2C9	1559	DTC		BUTYLATED HYDROXYTOLUENE	BUTYLATED HYDROXYTOLUENE	BUTYLATED HYDROXYTOLUENE	chembl:CHEMBL146	0.05	22931300
FGB	FGB	2244	ChemblInteractions	inhibitor	CHEMBL1201505	FIBRINOLYSIN, HUMAN	FIBRINOLYSIN, HUMAN	chembl:CHEMBL1201505	2.27	
TGM2	Tissue transglutaminase	7052	TTD		PMID26560530-Compound-23	PMID26560530-Compound-23				
KDM4E	KDM4E	390245	DTC		LUTEOLIN	LUTEOLIN	LUTEOLIN	chembl:CHEMBL151	0.01	
PTGS1	P23219	5742	TdgClinicalTrial		MEFENAMIC ACID	MEFENAMIC ACID				
MYO9B	MYO9B	4650	NCI		SALT	SALT	VOLANESORSEN SODIUM	chembl:CHEMBL3544989	0.96	8987990
CXCL2	CXCL2	2920	NCI		BCG	BCG	BCG VACCINE	wikidata:Q798309	2.12	18217952
NTRK3	4916	4916	GuideToPharmacology	inhibitor	252827368	PEXIDARTINIB	PEXIDARTINIB	chembl:CHEMBL3813873	0.17	
NT5C2	NT5C2	22978	PharmGKB		didanosine	didanosine	DIDANOSINE	chembl:CHEMBL1460	2.12	23315321
VEGFA	Vascular endothelial growth factor A	7422	TTD		Quinoline and quinazoline derivative 4	Quinoline and quinazoline derivative 4				
GRIN3B	GRIN3B	116444	ChemblInteractions	antagonist	CHEMBL1569	AMANTADINE HYDROCHLORIDE	AMANTADINE HYDROCHLORIDE	chembl:CHEMBL1569	0.33	
RAD52	RAD52	5893	DTC		GNF-PF-4029	GNF-PF-4029	CHEMBL596633	chembl:CHEMBL596633	0.07	
HSP90AB1	HSP90AB1	3326	DTC		RADANAMYCIN	RADANAMYCIN	RADANAMYCIN	chembl:CHEMBL383015	1.68	16464590
PAK4	PAK4	10298	DTC		PD-0166285	PD-0166285	PD-0166285	chembl:CHEMBL49120	0.06	
GRIN2C	Q14957	2905	TdgClinicalTrial		NEU-2000	NEU-2000				
SCNN1A	SCNN1A	6337	PharmGKB		triamterene	triamterene	TRIAMTERENE	chembl:CHEMBL585	8.84	23788015
GABRA6	Q16445	2559	TEND		METHYLPHENOBARBITAL	METHYLPHENOBARBITAL	MEPHOBARBITAL	chembl:CHEMBL45029	0.36	
HPGD	HPGD	3248	DTC		ZARDAVERINE	ZARDAVERINE	ZARDAVERINE	chembl:CHEMBL313842	0.09	
CYP2C19	CYP2C19	1557	FDA		Phenytoin	Phenytoin	PHENYTOIN	chembl:CHEMBL16	0.01	
AKT2	AKT2	208	ChemblInteractions	inhibitor	CHEMBL2177390	IPATASERTIB	IPATASERTIB	chembl:CHEMBL2177390	1.73	
MAPT	MAPT	4137	DTC		GNF-PF-4085	GNF-PF-4085	CHEMBL528181	chembl:CHEMBL528181	0.02	
SH2D1A	SH2D1A	4068	PharmGKB		emapalumab	emapalumab	EMAPALUMAB	chembl:CHEMBL3989977	15.91	
PTGDR2	11251	11251	GuideToPharmacology	agonist	53801020	15-DEOXY-Δ12,14-PGJ2				
EGFR	EGFR	1956	OncoKB		Dacomitinib	Dacomitinib	DACOMITINIB	chembl:CHEMBL2105719	2.07	
ITGAV	MSK8	3685	ChemblInteractions	inhibitor	CHEMBL2109621	DI17E6	ABITUZUMAB	chembl:CHEMBL2109621	2.55	
HLA-DRB1	HLA-DRB1	3123	PharmGKB		methimazole	methimazole	METHIMAZOLE	chembl:CHEMBL1515	0.11	
IL1R1	IL1R1	3554	NCI		IL-1	IL-1				8844493,9923819,2162889
YES1	YES1	7525	DTC		GW837331X	GW837331X	GW837331X	chembl:CHEMBL520037	0.3	
PIK3CA	PIK3CA	5290	ChemblInteractions	inhibitor	CHEMBL2326966	SF-1126	SF-1126	chembl:CHEMBL2326966	0.05	
HPGD	HPGD	3248	DTC		HYPERICIN	HYPERICIN	HYPERICIN	chembl:CHEMBL286494	0.02	
HTR1A	3350	3350	GuideToPharmacology	agonist	135649864	8-OH-DPAT	8-OH-DPAT	chembl:CHEMBL56	0.06	
SERPINA6	P08185	866	TEND		RIMEXOLONE	RIMEXOLONE	RIMEXOLONE	chembl:CHEMBL1200617	2.12	
CHRNA4	P43681	1137	TdgClinicalTrial		BUTALBITAL	BUTALBITAL	BUTALBITAL	chembl:CHEMBL454	0.39	
RRM2	Ribonucleoside-diphosphate reductase M2	6241	TTD		Hydroxyurea	Hydroxyurea	HYDROXYUREA	chembl:CHEMBL467	1.05	
PDK1	Pyruvate dehydrogenase kinase 1	5163	TTD		Indolinone derivative 1	Indolinone derivative 1				
THRB	THRB	7068	DTC		BENZO[D]ISOTHIAZOL-3-ONE	BENZO[D]ISOTHIAZOL-3-ONE	CHEMBL297304	chembl:CHEMBL297304	0.04	
S1PR3	Sphingosine-1-phosphate receptor 3	1903	TTD		US9216972, 67	US9216972, 67				
MAPT	MAPT	4137	DTC		HOE-33342	HOE-33342	CHEMBL343002	chembl:CHEMBL343002	0.02	
XDH	P47989	7498	TEND		FEBUXOSTAT	FEBUXOSTAT	FEBUXOSTAT	chembl:CHEMBL1164729	2.27	
CD52	Cambridge pathology 1 antigen	1043	TTD		Alemtuzumab	Alemtuzumab	ALEMTUZUMAB	chembl:CHEMBL1201587	509.21	
F9	P08709	2158	TEND		MENADIONE	MENADIONE	MENADIONE	chembl:CHEMBL590	0.57	
HTR1D	3352	3352	GuideToPharmacology	agonist	135650081	CGS-12066				
BACE1	23621	23621	GuideToPharmacology	inhibitor	223366182	EXAMPLE 2 [WO2013004676]				
AGTR1	AGTR1	185	NCI		DEXAMETHASONE	DEXAMETHASONE	DEXAMETHASONE	chembl:CHEMBL384467	0.03	16482568
EHMT2	EHMT2	10919	DTC		NSC-93817	NSC-93817	CHEMBL1509789	chembl:CHEMBL1509789	0.07	
MAP2K7	MAP2K7	5609	MyCancerGenomeClinicalTrial	inhibitor	GDC-0973	GDC-0973	COBIMETINIB	chembl:CHEMBL2146883	2.27	
CHRM1	P11229	1128	TEND		PROPIOMAZINE	PROPIOMAZINE	PROPIOMAZINE	chembl:CHEMBL1201210	0.33	
ATR	ATR	545	ClearityFoundationBiomarkers		E7449	E7449	2X-121	chembl:CHEMBL3644587	1.18	
ERBB2	2064	2064	GuideToPharmacology	antibody	178101775	TRASTUZUMAB	TRASTUZUMAB	chembl:CHEMBL1201585	1.89	
KCNA1	KCNA1	3736	ChemblInteractions	blocker	CHEMBL2107762	NERISPIRDINE	NERISPIRDINE	chembl:CHEMBL2107762	0.12	
GRIA4	P48058	2893	TdgClinicalTrial		PERAMPANEL	PERAMPANEL	PERAMPANEL	chembl:CHEMBL1214124	2.51	
EHMT2	EHMT2	10919	DTC		GNF-PF-1307	GNF-PF-1307	CHEMBL585030	chembl:CHEMBL585030	0.02	
PDGFRA	Platelet-derived growth factor receptor alpha	5156	TTD		CP-868596	CP-868596	CRENOLANIB	chembl:CHEMBL2105728	2.41	
BRAF	BRAF	673	MyCancerGenomeClinicalTrial	inhibitor	DASATINIB	DASATINIB	DASATINIB	chembl:CHEMBL1421	0.18	
IFNG	Interferon-gamma	3458	TTD		Emapalumab	Emapalumab	EMAPALUMAB	chembl:CHEMBL3989977	0.94	
	Influenza Hemagglutinin		TTD		Arbidol	Arbidol	UMIFENOVIR	chembl:CHEMBL1214598		
GABRA1	GABA(A) receptor alpha-1	2554	TTD		Zolpidem	Zolpidem	ZOLPIDEM	chembl:CHEMBL911	0.8	
KCNA10	3744	3744	GuideToPharmacology	blocker	135651249	TETRAETHYLAMMONIUM				
HDAC6	10013	10013	GuideToPharmacology	inhibitor	249565599	SANTACRUZAMATE A				
TUBA4A	TUBA4A	7277	DTC		4-(PHENYLCARBAMOYL)BENZYLNITRATE	4-(PHENYLCARBAMOYL)BENZYLNITRATE	CHEMBL1795737	chembl:CHEMBL1795737	0.19	21664138
ADRA1D	P25100	146	TdgClinicalTrial		PROPIOMAZINE	PROPIOMAZINE	PROPIOMAZINE	chembl:CHEMBL1201210	0.39	
ESR1	P03372	2099	TdgClinicalTrial		NORELGESTROMIN	NORELGESTROMIN	NORELGESTROMIN	chembl:CHEMBL1200807	0.11	
CDKAL1	CDKAL1	54901	PharmGKB		Dipeptidyl peptidase 4 (DPP-4) inhibitors	Dipeptidyl peptidase 4 (DPP-4) inhibitors				
ACE	1636	1636	GuideToPharmacology	inhibitor	178102993	BENAZEPRILAT	BENAZEPRILAT	chembl:CHEMBL1192519	0.96	
KDM4A	KDM4A	9682	DTC		APOMORPHINE HYDROCHLORIDE HEMIHYDRATE	APOMORPHINE HYDROCHLORIDE HEMIHYDRATE	APOMORPHINE HYDROCHLORIDE HEMIHYDRATE	chembl:CHEMBL1256708	0.01	
KLK3	KLK3	354	NCI		SELENIUM	SELENIUM				16648561
ABCB1	ABCB1	5243	PharmGKB		ranolazine	ranolazine	RANOLAZINE	chembl:CHEMBL1404	0.08	24433361
TPBG	5T4	7162	ChemblInteractions		CHEMBL1743045	NAPTUMOMAB ESTAFENATOX	NAPTUMOMAB ESTAFENATOX	chembl:CHEMBL1743045	15.91	
GRIN2C	NMDAR2C	2905	ChemblInteractions	antagonist	CHEMBL1207366	GW468816	GW468816	chembl:CHEMBL1207366	0.27	
PIK3R6	PIK3R6	146850	MyCancerGenomeClinicalTrial	inhibitor	DACTOLISIB	DACTOLISIB	DACTOLISIB	chembl:CHEMBL1879463	0.18	
RACGAP1	RACGAP1	29127	DTC		GNF-PF-321	GNF-PF-321	CHEMBL581044	chembl:CHEMBL581044	0.1	
CDK2	CDK2	1017	DTC		681640	681640	CHEMBL379975	chembl:CHEMBL379975	0.02	
HPGD	HPGD	3248	DTC		ZAPA	ZAPA	ZAPA	chembl:CHEMBL20562	0.04	
RECQL	RECQL	5965	DTC		NSC-228155	NSC-228155	CHEMBL505670	chembl:CHEMBL505670	0.01	
CYP2C19	CYP2C19	1557	DTC		ENOXOLONE	ENOXOLONE	ENOXOLONE	chembl:CHEMBL230006	0.03	22931300
CHRNA7	1139	1139	GuideToPharmacology	antagonist	336446923	ATRACURIUM	ATRACURIUM	chembl:CHEMBL1360	0.29	
NPC1	NPC1	4864	DTC		GNF-PF-3149	GNF-PF-3149	CHEMBL582507	chembl:CHEMBL582507	0.16	
CXCR2	3579	3579	GuideToPharmacology	agonist	252166704	VCXCL1				
PLK1	PLK1	5347	DTC		2-ANILINOPYRIDINE	2-ANILINOPYRIDINE	CHEMBL555260	chembl:CHEMBL555260	0.18	
ABL1	P00519	25	TdgClinicalTrial		NILOTINIB	NILOTINIB	NILOTINIB	chembl:CHEMBL255863	2.73	
RXRA	RXRA	6256	DTC		DOXORUBICIN HYDROCHLORIDE	DOXORUBICIN HYDROCHLORIDE	DOXORUBICIN HYDROCHLORIDE	chembl:CHEMBL359744	0.03	
HSPB1	HSPB1	3315	CancerCommons	inhibitor	OGX-427	OGX-427	APATORSEN	chembl:CHEMBL3039556	6.16	
NFE2L2	NFE2L2	4780	DTC		MIFEPRISTONE	MIFEPRISTONE	MIFEPRISTONE	chembl:CHEMBL1276308	0.0	
GSK3B	2932	2932	GuideToPharmacology	inhibitor	404859135	GNF4877				
OPRD1	P41143	4985	TdgClinicalTrial		MU DELTA	MU DELTA				
CYP3A4	CYP3A4	1576	DTC		MESO-HEXESTROL	MESO-HEXESTROL	MESO-HEXESTROL	chembl:CHEMBL9225	0.01	
HCAR2	Q8TDS4	338442	TdgClinicalTrial		NIACIN RECEPTOR AGONIST	NIACIN RECEPTOR AGONIST				
ACE	ACE	1636	PharmGKB		torasemide	torasemide	TORSEMIDE	chembl:CHEMBL1148	0.18	20877298
DRD3	DRD3	1814	PharmGKB		risperidone	risperidone	RISPERIDONE	chembl:CHEMBL85	0.07	19997080,19506579
CYP2C9	CYP2C9	1559	PharmGKB		gliquidone	gliquidone	GLIQUIDONE	chembl:CHEMBL383634	0.04	24442125
CCR3	1232	1232	GuideToPharmacology	agonist	135651654	CCL11				
SIRT1	SIRT1	23411	DTC		ALTISSIMACOUMARIN C	ALTISSIMACOUMARIN C	ALTISSIMACOUMARIN C	chembl:CHEMBL2071525	4.9	22799262
APOB	APOB	338	NCI		LOVASTATIN	LOVASTATIN	LOVASTATIN	chembl:CHEMBL503	0.33	2351867,7662319,1588827
ADRB1	P08588	153	TdgClinicalTrial		CARTEOLOL	CARTEOLOL	CARTEOLOL	chembl:CHEMBL839	3.11	
OPRK1	P41145	4986	TEND		HYDROMORPHONE	HYDROMORPHONE	HYDROMORPHONE	chembl:CHEMBL398707	0.86	
HSD17B10	HSD17B10	3028	DTC		2',3'-DIHYDROXYFLAVONE	2',3'-DIHYDROXYFLAVONE	CHEMBL242171	chembl:CHEMBL242171	0.02	
GRM2	Metabotropic glutamate receptor 2	2912	TTD		PMID25435285-Compound-43	PMID25435285-Compound-43				
ADRA1A	P35348	148	TEND		AMIODARONE	AMIODARONE	AMIODARONE	chembl:CHEMBL633	0.05	
MCL1	MCL1	4170	DTC		CB7969312	CB7969312	CHEMBL599255	chembl:CHEMBL599255	0.15	
ADRB2	Adrenergic receptor beta-2	154	TTD		KUL-7211	KUL-7211				
HCRTR2	Orexin receptor type 2	3062	TTD		1,2-diamino cyclopentane-based derivative 6	1,2-diamino cyclopentane-based derivative 6				
GMNN	GMNN	51053	DTC		XANTHOANGELOL B	XANTHOANGELOL B	XANTHOANGELOL B	chembl:CHEMBL494082	0.03	
RNASEH2A	RNASEH2A	10535	NCI		PROGESTERONE	PROGESTERONE	PROGESTERONE	chembl:CHEMBL103	0.88	12080023
POLK	POLK	51426	DTC		RACEPINEPHRINE	RACEPINEPHRINE	RACEPINEPHRINE	chembl:CHEMBL1740	0.08	
	N/A		MyCancerGenomeClinicalTrial	inhibitor	TOPOTECAN HYDROCHLORIDE	TOPOTECAN HYDROCHLORIDE				
CYSLTR1	10800	10800	GuideToPharmacology	antagonist	178100399	BAYU9773				
GABRA3	P34903	2556	TEND		HEXOBARBITAL	HEXOBARBITAL	HEXOBARBITAL	chembl:CHEMBL7728	0.31	
DYRK1A	Dual-specificity tyrosine-phosphorylation regulated kinase 1A	1859	TTD		PMID28766366-Compound-Scheme6Pyrrolo[2,3-d]pyrimidines	PMID28766366-Compound-Scheme6Pyrrolo[2,3-d]pyrimidines				
BRAF	BRAF1	673	ChemblInteractions	inhibitor	CHEMBL3545263	LGX-806	LGX-806	chembl:CHEMBL3545263	0.33	
MAP4K2	MAP4K2	5871	DTC		DACTOLISIB	DACTOLISIB	DACTOLISIB	chembl:CHEMBL1879463	0.05	
AR	367	367	GuideToPharmacology	agonist	135650271	FLUOXYMESTERONE	FLUOXYMESTERONE	chembl:CHEMBL1445	0.29	
GABRG2	GABRG2	2566	DTC		RO-229735	RO-229735	CHEMBL2170369	chembl:CHEMBL2170369	0.48	21751815
KDM4A	KDM4A	9682	DTC		LOMOFUNGIN	LOMOFUNGIN	LOMOFUNGIN	chembl:CHEMBL1505471	0.01	
MYLK	MYLK	4638	DTC	inhibitor	TOZASERTIB	TOZASERTIB	TOZASERTIB	chembl:CHEMBL572878	1.82	19035792
MITF	MITF	4286	CIViC		SELUMETINIB	SELUMETINIB	SELUMETINIB	chembl:CHEMBL1614701	0.07	24185007
TSPO	Translocator protein	706	TTD		Imidazo[1,2-b]pyridazine acetamide derivative 5	Imidazo[1,2-b]pyridazine acetamide derivative 5				
TMEM97	Sigma intracellular receptor 2	27346	TTD		Fused aryl carbocycle derivative 3	Fused aryl carbocycle derivative 3				
BIRC5	BIRC5	332	NCI		IL-12	IL-12				12895357
ADORA2A	135	135	GuideToPharmacology	antagonist	178102251	LAS38096	CHEMBL375293	chembl:CHEMBL375293	0.11	
ESR1	Estrogen receptor	2099	TTD		ICARITIN	ICARITIN	ICARITIN	chembl:CHEMBL498485	0.32	
SENP8	SENP8	123228	DTC		DNDI1417156	DNDI1417156	CHEMBL1504679	chembl:CHEMBL1504679	0.24	
PRKD3	EPK2	23683	ChemblInteractions	inhibitor	CHEMBL565612	SOTRASTAURIN	SOTRASTAURIN	chembl:CHEMBL565612	0.03	
ABCB1	ABCB1	5243	PharmGKB		spironolactone	spironolactone	SPIRONOLACTONE	chembl:CHEMBL1393	0.04	
GCK	Glucokinase	2645	TTD		GK1-399	GK1-399				
	Clusterin messenger RNA		TTD		Custirsen	Custirsen	CUSTIRSEN	chembl:CHEMBL2108309		
CYP2B6	CYP2B6	1555	PharmGKB		mitotane	mitotane	MITOTANE	chembl:CHEMBL1670	0.32	23524664
NAAA	27163	27163	GuideToPharmacology	inhibitor	381118830	ARN19702				
	Carbonic anhydrase		TTD		Phentermine+topiramate	Phentermine+topiramate				
KRT19	KRT19	3880	NCI		PD-98059	PD-98059	CHEMBL35482	chembl:CHEMBL35482	1.72	15793288
CACNA1D	Q01668	776	TdgClinicalTrial		FELODIPINE	FELODIPINE	FELODIPINE	chembl:CHEMBL1480	0.52	
ADRB2	154	154	GuideToPharmacology	antagonist	135651263	TIMOLOL	TIMOLOL	chembl:CHEMBL499	1.69	
RPE65	Retinal pigment epithelium protein	6121	TTD		AAV2-hRPE65v2	AAV2-hRPE65v2	VORETIGENE NEPARVOVEC	chembl:CHEMBL3707275	21.22	
TRPV1	Transient receptor potential cation channel V1	7442	TTD		GRC-15300	GRC-15300	GRC-15300	chembl:CHEMBL3707319	1.52	21041957
SMN2	SMN2	6607	DTC		HYDRALAZINE	HYDRALAZINE	HYDRALAZINE	chembl:CHEMBL276832	0.03	
AVPR1B	553	553	GuideToPharmacology	agonist	135652086	D[CHA4]AVP				
CACNA1B	CACH5	774	ChemblInteractions	modulator	CHEMBL2103836	IMAGABALIN	IMAGABALIN	chembl:CHEMBL2103836	0.09	
CGA	CGA	1081	NCI		VINBLASTINE	VINBLASTINE	VINBLASTINE	chembl:CHEMBL159	1.41	6181870
ALK	ALK	238	CIViC		BRIGATINIB	BRIGATINIB	BRIGATINIB	chembl:CHEMBL3545311	4.02	27836716,29650534,27049722,26951079,28475456,25727400
GHSR	Q92847	2693	TdgClinicalTrial		GTP-200	GTP-200				
EHMT2	EHMT2	10919	DTC		ENOXAMAST	ENOXAMAST	ENOXAMAST	chembl:CHEMBL1185703	0.07	
MAFB	MAFB	9935	PharmGKB		Tumor necrosis factor alpha (TNF-alpha) inhibitors	Tumor necrosis factor alpha (TNF-alpha) inhibitors				
ERBB3	ERBB3	2065	PharmGKB		lapatinib	lapatinib	LAPATINIB	chembl:CHEMBL554	0.47	
NDUFC2	NDUFC2	4718	ChemblInteractions	inhibitor	CHEMBL3545135	NV-128	NV-128	chembl:CHEMBL3545135	0.42	
FLT4	FLT4	2324	DTC		ALSTERPAULLONE	ALSTERPAULLONE	ALSTERPAULLONE	chembl:CHEMBL50894	0.01	
CYP2D6	CYP2D6	1565	DTC		PIMETHIXENE	PIMETHIXENE	PIMETHIXENE	chembl:CHEMBL152408	0.11	
KDM4A	KDM4A	9682	DTC		GNF-PF-2954	GNF-PF-2954	CHEMBL582722	chembl:CHEMBL582722	0.02	
PTK2B	Tyrosine-protein kinase	2185	TTD		PMID27774822-Compound-Figure10Example1	PMID27774822-Compound-Figure10Example1				
PTEN	PTEN	5728	JAX-CKB		DETD-35	DETD-35				27048951
IL23A	Q9NPF7	51561	TdgClinicalTrial		BRIAKINUMAB	BRIAKINUMAB	BRIAKINUMAB	chembl:CHEMBL1742995	7.07	
CYP1A2	CYP1A2	1544	DTC		E324	E324	E324	chembl:CHEMBL172064	0.01	
AR	AR	367	DTC		MONATEPIL	MONATEPIL	MONATEPIL	chembl:CHEMBL172853	0.07	
MAP2K1	5604	5604	GuideToPharmacology	allosteric modulator	223365961	COBIMETINIB	COBIMETINIB	chembl:CHEMBL2146883	1.09	
	Norepinephrine transporter		TTD		Acetaminophen	Acetaminophen	ACETAMINOPHEN	chembl:CHEMBL112		
PSMD13	PSMD13	5719	MyCancerGenome	inhibitor	CARFILZOMIB	CARFILZOMIB	CARFILZOMIB	chembl:CHEMBL451887	1.12	
GLA	GLA	2717	DTC		EBSELEN	EBSELEN	EBSELEN	chembl:CHEMBL51085	0.15	
KDR	FLK1	3791	ChemblInteractions	inhibitor	CHEMBL2105704	LENVATINIB MESYLATE	LENVATINIB MESYLATE	chembl:CHEMBL2105704	0.15	
PDE7A	Q13946	5150	TEND		DYPHYLLINE	DYPHYLLINE	DYPHYLLINE	chembl:CHEMBL1752	6.06	
GC	GC	2638	PharmGKB		cetuximab	cetuximab	CETUXIMAB	chembl:CHEMBL1201577	0.42	29208668
SLC6A4	P31645	6532	TEND		DESVENLAFAXINE	DESVENLAFAXINE	DESVENLAFAXINE	chembl:CHEMBL1118	1.62	
HPGD	HPGD	3248	DTC		MERCURIC CHLORIDE	MERCURIC CHLORIDE	MERCURIC CHLORIDE	chembl:CHEMBL1374360	0.01	
RET	RET	5979	JAX-CKB		Everolimus	Everolimus	EVEROLIMUS	chembl:CHEMBL1908360	0.07	26294908,27683183
PTGS2	COX2	5743	ChemblInteractions	inhibitor	CHEMBL2105683	NAPROXEN ETEMESIL	NAPROXEN ETEMESIL	chembl:CHEMBL2105683	0.36	
SIRT1	SIRT1	23411	DTC		RESVERATROL	RESVERATROL	RESVERATROL	chembl:CHEMBL165	0.31	23316803,23859249,18046409
NF1	NF1	4763	CIViC		VEMURAFENIB	VEMURAFENIB	VEMURAFENIB	chembl:CHEMBL1229517	0.8	23288408
OPRD1	OPRD	4985	ChemblInteractions	antagonist	CHEMBL1718	NALOXONE HYDROCHLORIDE	NALOXONE HYDROCHLORIDE	chembl:CHEMBL1718	0.24	
HTR2A	P28223	3356	TdgClinicalTrial		BVT.28949	BVT.28949				
PTGS2	PTGS2	5743	PharmGKB		atenolol	atenolol	ATENOLOL	chembl:CHEMBL24	0.02	
ADORA3	140	140	GuideToPharmacology	antagonist	135650646	MRS1186				
GPR68	8111	8111	GuideToPharmacology	agonist	404859017	OSTN (115-133)				
GSTP1	GSTP1	2950	PharmGKB		thiotepa	thiotepa	THIOTEPA	chembl:CHEMBL671	0.17	
BRAF	BRAF	673	JAX-CKB		CCT196969	CCT196969				25500121,15294323,17210691
TUBB	Tubulin beta	203068	TTD		Sphingosome Encapsulated Vinorelbine	Sphingosome Encapsulated Vinorelbine				
MAPT	MAPT	4137	DTC		DIHYDROERGOCRISTINE	DIHYDROERGOCRISTINE	DIHYDROERGOCRISTINE	chembl:CHEMBL601773	0.04	
COMT	COMT	1312	PharmGKB		methylphenidate	methylphenidate	METHYLPHENIDATE	chembl:CHEMBL796	0.4	29230023,23131881,24763183,18214865,18703939,22149470,24035255,21550019
POLB	POLB	5423	DTC		SJ000071854	SJ000071854	CHEMBL602127	chembl:CHEMBL602127	0.05	
DDR2	4921	4921	GuideToPharmacology	inhibitor	178102337	SORAFENIB	SORAFENIB	chembl:CHEMBL1336	0.1	
CYP2D6	CYP2D6	1565	DTC		AZITHROMYCIN	AZITHROMYCIN	AZITHROMYCIN	chembl:CHEMBL529	0.02	22931300
ITGB2	ITGB2	3689	NCI		ETHANOL	ETHANOL	ALCOHOL	chembl:CHEMBL545	0.08	8803617
GABRR2	P28476	2570	TdgClinicalTrial		CLORAZEPATE	CLORAZEPATE	CLORAZEPIC ACID	chembl:CHEMBL1213252	0.22	
HTR1A	5-HT 1A receptor	3350	TTD		MN-305	MN-305	OSEMOZOTAN	chembl:CHEMBL1742408	1.82	
RELA	RELA	5970	DTC		ACACETIN	ACACETIN	ACACETIN	chembl:CHEMBL243664	0.17	25190466
ALOX15	ALOX15	246	DTC		QUINOXALINE-2-CARBOXYLIC ACID	QUINOXALINE-2-CARBOXYLIC ACID	CHEMBL151797	chembl:CHEMBL151797	0.09	
CYP1A1	CYP1A1	1543	NCI		PHYTOCHEMICALS	PHYTOCHEMICALS				10752639
EHMT2	EHMT2	10919	DTC		SJ000119988	SJ000119988	CHEMBL589694	chembl:CHEMBL589694	0.01	
RET	RET	5979	MyCancerGenome	inhibitor	SORAFENIB	SORAFENIB	SORAFENIB	chembl:CHEMBL1336	0.15	
MAPK9	5601	5601	GuideToPharmacology	inhibitor	178102618	JNK INHIBITOR IX				
NT5C2	NT5C2	22978	CIViC		THIOGUANINE	THIOGUANINE	THIOGUANINE	chembl:CHEMBL727	1.47	23377183,23377281
CIC	CIC	23152	CIViC		TRAMETINIB	TRAMETINIB	TRAMETINIB	chembl:CHEMBL2103875	1.01	28178529
